College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
Tier 2,Executive,Non-Metro,66101.00,4,81,31,55470.55
Tier 2,Executive,Metro,49622.00,2,73,41,69510.05
Tier 2,Executive,Non-Metro,59386.00,4,46,37,68064.76
Tier 1,Executive,Metro,66050.00,1,35,38,69116.93
Tier 1,Executive,Metro,59492.00,1,69,55,86354.84
Tier 1,Executive,Non-Metro,61134.00,3,72,18,60456.69
Tier 3,Executive,Non-Metro,61956.00,4,54,28,71791.28
Tier 2,Executive,Non-Metro,46086.00,4,50,60,67626.89
Tier 2,Manager,Metro,61481.00,3,79,36,99794.4
Tier 1,Executive,Non-Metro,55727.00,3,79,18,70350.79
Tier 3,Executive,Non-Metro,61576.00,2,73,21,58818.77
Tier 1,Manager,Metro,57563.00,1,64,48,86487.58
Tier 2,Manager,Metro,58288.00,3,84,36,92378.5
Tier 3,Executive,Non-Metro,55282.00,3,60,40,73281.55
Tier 3,Manager,Metro,66624.00,1,63,58,110438.17
Tier 1,Executive,Non-Metro,59443.00,3,52,58,67485.1
Tier 2,Manager,Metro,51937.00,3,64,18,92518.37
Tier 2,Manager,Non-Metro,46477.00,3,37,53,72977.63
Tier 3,Executive,Non-Metro,62470.00,3,60,34,64770.75
Tier 1,Executive,Metro,51123.00,2,52,43,74845.87
Tier 2,Executive,Metro,56301.00,3,58,25,59913.31
Tier 3,Executive,Metro,46670.00,1,69,64,95961.18
Tier 3,Executive,Non-Metro,54375.00,2,82,28,60766.38
Tier 3,Manager,Non-Metro,45227.00,4,40,20,69193.96
Tier 1,Executive,Non-Metro,50787.00,4,81,19,66433.4
Tier 1,Executive,Non-Metro,62919.00,3,42,61,73410.95
Tier 3,Executive,Metro,51770.00,3,45,40,68447.63
Tier 2,Executive,Non-Metro,60123.00,1,47,40,60185.4
Tier 2,Manager,Metro,51002.00,4,41,28,76765.02
Tier 2,Manager,Non-Metro,46940.00,1,69,27,70157.03
Tier 1,Executive,Metro,49905.00,4,66,31,75297.34
Tier 1,Executive,Non-Metro,51505.00,2,55,53,76960.48
Tier 2,Executive,Metro,52474.00,3,79,58,76204.89
Tier 1,Executive,Metro,49172.00,2,57,44,63782.2
Tier 3,Executive,Metro,56916.00,3,42,57,69415.11
Tier 2,Executive,Non-Metro,59386.00,1,38,29,64472.36
Tier 2,Executive,Metro,55748.00,3,84,21,60815.42
Tier 1,Executive,Non-Metro,65574.00,2,83,22,55902.83
Tier 3,Executive,Non-Metro,58541.00,4,79,41,64468.29
Tier 1,Executive,Metro,50672.00,4,79,31,76093.36
Tier 1,Executive,Non-Metro,68071.00,1,70,45,81430.49
Tier 2,Manager,Metro,58815.00,4,71,22,106165.08
Tier 3,Executive,Non-Metro,62493.00,3,74,48,67374.71
Tier 1,Manager,Non-Metro,60182.00,4,59,37,103574.45
Tier 3,Manager,Metro,42941.00,1,49,45,74191.43
Tier 3,Manager,Non-Metro,55505.00,2,40,57,100887.85
Tier 1,Executive,Non-Metro,54114.00,3,82,56,78715.16
Tier 3,Executive,Non-Metro,57670.00,1,41,46,70686.71
Tier 3,Executive,Non-Metro,54361.00,2,68,55,73231.75
Tier 2,Executive,Non-Metro,67083.00,4,39,21,66296.73
Tier 3,Executive,Non-Metro,52483.00,2,65,53,71738.23
Tier 1,Manager,Metro,55581.00,4,49,59,99551.34
Tier 3,Executive,Metro,62243.00,1,41,35,75903.42
Tier 1,Manager,Non-Metro,59293.00,1,81,64,105308.78
Tier 2,Executive,Non-Metro,59707.00,3,70,28,56003.61
Tier 1,Executive,Non-Metro,57726.00,4,84,54,68673.29
Tier 2,Executive,Metro,58401.00,4,45,55,76028.5
Tier 1,Manager,Metro,41228.00,2,64,56,87418.05
Tier 1,Manager,Metro,40945.00,1,46,38,74984.02
Tier 1,Executive,Non-Metro,54794.00,4,47,41,66591.29
Tier 1,Executive,Metro,51692.00,2,57,30,72088.04
Tier 1,Executive,Non-Metro,52305.00,1,35,18,78521.17
Tier 2,Manager,Non-Metro,56680.00,4,63,61,85688.72
Tier 1,Executive,Non-Metro,52300.00,4,52,34,66657.86
Tier 3,Manager,Metro,56710.00,2,47,20,67879.02
Tier 1,Executive,Non-Metro,51351.00,1,69,19,60069.68
Tier 3,Executive,Metro,51022.00,2,55,26,67820.31
Tier 2,Executive,Metro,52096.00,3,37,29,65685.02
Tier 2,Manager,Metro,59099.00,2,67,63,103305.3
Tier 3,Executive,Metro,57677.00,4,77,54,76671.69
Tier 1,Executive,Non-Metro,59343.00,3,85,55,76577.99
Tier 1,Executive,Metro,54767.00,1,35,37,66693.98
Tier 3,Executive,Non-Metro,60869.00,1,77,21,60125.97
Tier 1,Executive,Metro,53949.00,4,81,52,80042.11
Tier 1,Executive,Metro,48707.00,4,77,60,97106.11
Tier 2,Executive,Metro,77911.00,1,50,58,87831.62
Tier 2,Manager,Non-Metro,54183.00,1,40,29,70630.95
Tier 2,Executive,Non-Metro,51099.00,3,71,49,67516.63
Tier 3,Executive,Non-Metro,51591.00,1,79,37,67573.29
Tier 1,Executive,Metro,61057.00,1,41,44,80714.79
Tier 1,Executive,Metro,48280.00,4,79,18,75430.51
Tier 3,Executive,Non-Metro,57606.00,4,78,20,54071.79
Tier 1,Manager,Metro,55440.00,4,72,44,112826.26
Tier 3,Executive,Non-Metro,54055.00,1,63,47,60944.33
Tier 1,Executive,Non-Metro,49862.00,3,82,26,65065.52
Tier 1,Manager,Non-Metro,56204.00,2,65,19,82667.77
Tier 1,Executive,Non-Metro,65161.00,2,41,52,82517.59
Tier 3,Manager,Non-Metro,42143.00,3,38,32,88208.37
Tier 1,Executive,Metro,57924.00,4,62,38,68023.41
Tier 1,Executive,Non-Metro,48755.00,2,69,59,73464.75
Tier 1,Executive,Non-Metro,50926.00,3,83,61,77222
Tier 1,Executive,Non-Metro,65158.00,3,67,53,67163.57
Tier 3,Executive,Metro,46073.00,4,73,19,59241.32
Tier 1,Executive,Non-Metro,53110.00,4,43,20,72322.79
Tier 2,Executive,Non-Metro,50180.00,1,41,22,55226.53
Tier 1,Executive,Metro,61124.00,3,64,19,73417.07
Tier 3,Executive,Metro,54583.00,3,82,22,63534.87
Tier 2,Executive,Non-Metro,52400.00,3,72,54,90774.04
Tier 1,Executive,Non-Metro,64264.00,1,51,22,77666.95
Tier 1,Executive,Metro,44197.00,3,52,34,95868.3
Tier 1,Executive,Metro,56273.00,1,75,26,74544.57
Tier 2,Manager,Metro,47481.00,4,42,34,77150.63
Tier 3,Executive,Metro,58053.00,1,53,29,86298.82
Tier 3,Manager,Metro,58071.00,4,76,30,74697.64
Tier 2,Executive,Non-Metro,66845.00,1,60,29,58695.65
Tier 3,Manager,Metro,60396.00,3,72,46,96190.72
Tier 2,Executive,Non-Metro,67056.00,3,55,51,63582.13
Tier 3,Executive,Non-Metro,63823.00,4,39,53,61586.14
Tier 1,Executive,Metro,49475.00,3,71,19,75037.68
Tier 3,Executive,Metro,50330.00,3,80,35,61282.09
Tier 2,Executive,Metro,57858.00,4,43,48,71522.23
Tier 1,Executive,Non-Metro,61627.00,3,58,32,74596.33
Tier 1,Manager,Non-Metro,49733.00,1,76,42,77168.22
Tier 1,Executive,Non-Metro,55308.00,2,36,40,75028.75
Tier 3,Executive,Metro,66048.00,4,80,44,76619.74
Tier 2,Manager,Metro,49405.00,1,63,48,75910.11
Tier 1,Manager,Metro,49810.00,1,47,18,73056.77
Tier 2,Manager,Metro,56330.00,4,46,30,94478.7
Tier 2,Executive,Non-Metro,56485.00,2,36,50,69960.25
Tier 3,Manager,Non-Metro,47053.00,2,46,42,67407.05
Tier 2,Manager,Non-Metro,64179.00,4,74,18,97119.39
Tier 1,Executive,Metro,60385.00,4,78,54,83984.48
Tier 1,Executive,Non-Metro,50963.00,2,45,32,76385.23
Tier 3,Executive,Metro,50024.00,1,77,37,66216.7
Tier 1,Executive,Metro,50334.00,2,36,47,82526.93
Tier 1,Executive,Non-Metro,61054.00,3,68,20,74459.25
Tier 3,Executive,Non-Metro,58629.00,3,39,32,62936.7
Tier 3,Executive,Non-Metro,52519.00,2,45,19,59425.89
Tier 1,Executive,Metro,46993.00,3,50,27,69437.63
Tier 2,Executive,Metro,67559.00,4,45,63,72083.49
Tier 1,Executive,Metro,55944.00,2,53,49,69163.36
Tier 1,Executive,Metro,38709.00,3,56,18,72747.12
Tier 1,Executive,Non-Metro,61130.00,3,58,35,66726.94
Tier 3,Executive,Non-Metro,54941.00,2,50,24,57067.63
Tier 1,Manager,Non-Metro,58639.00,2,46,63,109108.12
Tier 3,Executive,Metro,52098.00,2,84,38,73831.46
Tier 1,Executive,Metro,53618.00,2,52,54,79031.2
Tier 1,Executive,Non-Metro,57261.00,4,62,46,77631.46
Tier 1,Executive,Non-Metro,53158.00,4,66,41,78524.15
Tier 3,Executive,Metro,53511.00,1,84,58,70856.24
Tier 2,Executive,Non-Metro,58408.00,2,56,18,61042.81
Tier 1,Executive,Metro,46722.00,2,49,22,66407.61
Tier 3,Executive,Non-Metro,49331.00,1,78,44,71632.13
Tier 2,Executive,Metro,53717.00,2,41,44,78002.78
Tier 1,Manager,Metro,70258.00,4,38,36,115126.75
Tier 2,Executive,Non-Metro,53186.00,3,62,26,58559.16
Tier 1,Executive,Non-Metro,59273.00,1,80,30,62275.25
Tier 1,Executive,Non-Metro,59466.00,3,45,41,73749.44
Tier 3,Executive,Non-Metro,55639.00,1,40,29,55927.32
Tier 2,Executive,Metro,61138.00,3,68,61,67174.81
Tier 1,Executive,Non-Metro,47831.00,4,74,36,70249.63
Tier 2,Executive,Metro,51919.00,4,82,25,69896.22
Tier 3,Executive,Non-Metro,49310.00,1,47,56,68123.8
Tier 2,Executive,Metro,61973.00,1,51,18,56131.76
Tier 3,Executive,Metro,52475.00,3,39,19,63426.48
Tier 1,Executive,Non-Metro,62262.00,3,43,39,68762.6
Tier 2,Executive,Non-Metro,49159.00,3,57,45,65693.05
Tier 3,Executive,Non-Metro,44451.00,1,65,51,59721.74
Tier 1,Executive,Non-Metro,64873.00,3,48,64,85224.19
Tier 3,Executive,Non-Metro,55261.00,1,36,19,53356.72
Tier 2,Executive,Non-Metro,53405.00,1,46,48,67405.54
Tier 3,Executive,Non-Metro,48982.00,3,77,60,73639.06
Tier 2,Manager,Non-Metro,60286.00,1,73,27,91956.84
Tier 1,Executive,Metro,44712.00,2,49,46,76451.55
Tier 1,Executive,Non-Metro,49882.00,2,57,28,64100.13
Tier 2,Executive,Metro,46791.00,3,59,59,78379.79
Tier 1,Manager,Metro,52585.00,3,78,35,77592.94
Tier 1,Executive,Non-Metro,59130.00,1,79,63,70314.89
Tier 1,Executive,Metro,63061.00,4,36,40,72339.71
Tier 1,Executive,Metro,55293.00,4,39,20,75774.95
Tier 3,Executive,Metro,54222.00,4,40,40,71232.98
Tier 3,Executive,Metro,48720.00,3,66,24,61022.27
Tier 2,Executive,Non-Metro,49971.00,2,77,34,69437.41
Tier 1,Executive,Non-Metro,58774.00,4,70,45,73028.67
Tier 1,Executive,Non-Metro,59781.00,1,46,41,76811.45
Tier 3,Executive,Non-Metro,54690.00,3,71,53,65923.72
Tier 2,Executive,Metro,43494.00,1,60,27,68676.93
Tier 2,Executive,Non-Metro,54356.00,1,69,26,67766.33
Tier 2,Executive,Non-Metro,44261.00,4,64,24,75535.5
Tier 1,Executive,Non-Metro,61570.00,3,74,34,75762.91
Tier 1,Executive,Non-Metro,59600.00,3,52,53,75588.76
Tier 1,Executive,Metro,52971.00,2,56,32,70086.07
Tier 1,Manager,Metro,57963.00,2,60,19,96125.18
Tier 2,Manager,Metro,44781.00,2,75,42,80753.62
Tier 2,Executive,Metro,62903.00,4,82,55,71048.24
Tier 2,Executive,Metro,58282.00,4,78,28,71454.9
Tier 2,Executive,Non-Metro,66411.00,1,47,58,87222.87
Tier 1,Executive,Non-Metro,58109.00,4,44,41,75683.99
Tier 1,Executive,Metro,51572.00,4,35,47,78834.2
Tier 3,Executive,Non-Metro,63031.00,1,48,42,72943.91
Tier 2,Executive,Non-Metro,54081.00,1,42,59,66774.11
Tier 1,Executive,Non-Metro,45676.00,4,81,19,58845.4
Tier 1,Executive,Metro,52116.00,2,60,59,75689.83
Tier 3,Executive,Metro,46127.00,1,56,39,68623.41
Tier 2,Manager,Non-Metro,48343.00,3,78,40,68392.67
Tier 2,Executive,Non-Metro,56666.00,3,47,18,53730.63
Tier 2,Executive,Metro,67170.00,4,55,31,69913.11
Tier 3,Manager,Metro,51096.00,3,70,19,80820.27
Tier 2,Executive,Metro,64120.00,2,35,44,71001.53
Tier 1,Manager,Non-Metro,59001.00,2,81,23,89974.05
Tier 1,Executive,Non-Metro,45187.00,3,74,33,71161.34
Tier 1,Executive,Non-Metro,53027.00,4,69,55,106846.34
Tier 1,Executive,Metro,55858.00,4,47,40,77673.29
Tier 1,Manager,Non-Metro,49074.00,3,58,63,84287.39
Tier 3,Executive,Metro,54121.00,3,51,54,84320.29
Tier 2,Executive,Non-Metro,61285.00,3,44,60,77283.59
Tier 2,Executive,Metro,63140.00,1,44,24,68416.86
Tier 1,Executive,Metro,44907.00,1,60,19,70186.19
Tier 1,Executive,Metro,52054.00,2,67,29,73394.09
Tier 1,Manager,Metro,44353.00,3,75,18,70056.31
Tier 1,Manager,Non-Metro,54987.00,3,69,63,111873.3
Tier 2,Manager,Metro,54808.00,2,51,54,101785.04
Tier 1,Executive,Metro,58153.00,3,55,27,76298.9
Tier 1,Manager,Metro,51912.00,2,66,50,113141.14
Tier 1,Executive,Non-Metro,51735.00,1,67,55,71890.09
Tier 3,Manager,Metro,55928.00,4,75,56,108750.87
Tier 2,Executive,Non-Metro,61132.00,1,72,38,68120.03
Tier 3,Executive,Metro,47560.00,4,70,51,67760.38
Tier 3,Manager,Metro,53080.00,3,68,19,97151.38
Tier 1,Executive,Non-Metro,46136.00,1,73,58,81234.6
Tier 2,Manager,Non-Metro,54869.00,2,76,20,72296.79
Tier 1,Manager,Metro,53471.00,3,58,52,82735.4
Tier 3,Manager,Metro,66355.00,1,81,19,99815.96
Tier 2,Executive,Non-Metro,62836.00,4,41,53,72755.38
Tier 2,Manager,Metro,70468.00,2,38,46,111172.92
Tier 2,Manager,Metro,45743.00,4,45,40,80222.5
Tier 1,Executive,Non-Metro,54083.00,3,83,59,70531.82
Tier 1,Executive,Metro,50573.00,3,60,45,70207.24
Tier 1,Executive,Metro,46637.00,4,46,49,66843.75
Tier 2,Executive,Metro,50393.00,4,55,18,60213.58
Tier 1,Manager,Metro,63916.00,1,70,50,105334.5
Tier 3,Executive,Metro,62911.00,3,65,41,65659.69
Tier 1,Executive,Metro,56876.00,1,35,50,83092.16
Tier 3,Executive,Metro,54032.00,1,38,25,66571.17
Tier 1,Executive,Non-Metro,52888.00,4,76,47,78083.21
Tier 3,Executive,Metro,43457.00,1,74,19,62954.41
Tier 1,Executive,Non-Metro,51281.00,3,55,22,66298.7
Tier 2,Executive,Metro,54806.00,2,57,59,82475.16
Tier 2,Executive,Non-Metro,49646.00,1,59,51,74374.6
Tier 1,Manager,Non-Metro,52883.00,1,55,40,78949.12
Tier 1,Manager,Metro,68419.00,4,46,54,106418.32
Tier 1,Executive,Metro,50242.00,4,71,30,70060.23
Tier 1,Executive,Non-Metro,57133.00,3,72,55,77111.81
Tier 1,Executive,Non-Metro,52065.00,4,80,52,68439.79
Tier 2,Executive,Metro,53490.00,2,72,46,68607.86
Tier 1,Executive,Non-Metro,68539.00,3,51,46,76839.09
Tier 3,Executive,Non-Metro,48471.00,1,52,63,70363.67
Tier 1,Manager,Non-Metro,59759.00,4,67,59,104376.58
Tier 2,Executive,Metro,48380.00,2,76,52,83078.61
Tier 1,Executive,Non-Metro,56990.00,3,85,28,72326.83
Tier 1,Executive,Metro,51090.00,3,80,29,88238.24
Tier 2,Manager,Metro,74198.00,1,57,25,99644.51
Tier 2,Executive,Non-Metro,49883.00,2,83,22,60621.48
Tier 1,Executive,Metro,54757.00,1,70,25,81168.14
Tier 1,Executive,Metro,47031.00,1,77,18,69525.73
Tier 1,Manager,Metro,50737.00,3,59,19,80080.39
Tier 2,Manager,Metro,51867.00,3,71,47,82688.35
Tier 3,Manager,Metro,55886.00,1,59,31,96427.67
Tier 3,Executive,Non-Metro,58056.00,2,35,48,69477.19
Tier 1,Executive,Metro,53101.00,4,70,36,74538.4
Tier 1,Manager,Non-Metro,48782.00,4,48,53,79584.68
Tier 2,Executive,Non-Metro,61585.00,1,43,56,74831.1
Tier 2,Executive,Non-Metro,59979.00,4,75,28,58131.91
Tier 1,Executive,Non-Metro,63899.00,1,56,57,84743
Tier 3,Executive,Metro,54798.00,1,54,29,75534.4
Tier 1,Executive,Non-Metro,54744.00,4,78,28,81481.56
Tier 2,Executive,Non-Metro,58383.00,2,46,30,69300.19
Tier 1,Executive,Metro,58709.00,4,85,58,90313.75
Tier 3,Executive,Non-Metro,54126.00,2,43,41,73396.24
Tier 1,Executive,Metro,52976.00,4,50,50,70039.59
Tier 1,Executive,Non-Metro,50339.00,2,60,19,70424.37
Tier 2,Manager,Metro,61609.00,2,74,43,91694.57
Tier 2,Executive,Metro,63395.00,1,66,49,74782.68
Tier 1,Manager,Non-Metro,61270.00,2,73,27,102262.82
Tier 1,Executive,Metro,61862.00,4,51,52,79093.55
Tier 3,Executive,Metro,60695.00,1,62,50,70326.56
Tier 1,Executive,Metro,59922.00,3,42,54,86260
Tier 3,Executive,Non-Metro,53748.00,2,74,44,63434.77
Tier 1,Executive,Metro,62196.00,2,69,32,66943.01
Tier 3,Executive,Metro,52827.00,2,43,34,65127.58
Tier 1,Executive,Non-Metro,56003.00,1,68,26,79572.91
Tier 1,Manager,Metro,60107.00,3,40,34,108959.68
Tier 1,Executive,Metro,67292.00,3,46,57,75485.17
Tier 1,Executive,Metro,49605.00,4,58,29,66564.34
Tier 1,Executive,Metro,63647.00,3,50,40,77855.11
Tier 2,Executive,Non-Metro,48581.00,4,69,27,58157.33
Tier 3,Manager,Metro,63334.00,1,71,45,94904.92
Tier 1,Manager,Non-Metro,62264.00,2,52,64,114996.23
Tier 1,Executive,Metro,61180.00,1,53,52,84453.82
Tier 1,Manager,Non-Metro,63370.00,1,38,61,112185.3
Tier 3,Manager,Metro,52121.00,4,64,52,85433.78
Tier 3,Executive,Non-Metro,58782.00,4,81,61,71725.42
Tier 1,Executive,Non-Metro,52717.00,3,81,56,69686.43
Tier 1,Executive,Non-Metro,65291.00,2,51,43,87624.82
Tier 1,Executive,Metro,62820.00,3,62,64,75366.41
Tier 2,Executive,Metro,55219.00,3,36,60,69293.67
Tier 3,Executive,Metro,50637.00,4,81,62,72653.54
Tier 1,Manager,Metro,56777.00,3,72,50,101676.27
Tier 2,Executive,Non-Metro,48367.00,2,82,46,64602.94
Tier 1,Executive,Non-Metro,50440.00,4,49,24,84891.91
Tier 3,Executive,Metro,56640.00,4,59,62,80912.22
Tier 1,Executive,Non-Metro,52862.00,4,38,60,75668.6
Tier 1,Executive,Metro,66238.00,4,37,63,87865.95
Tier 2,Executive,Non-Metro,63067.00,2,41,49,72570.68
Tier 2,Executive,Non-Metro,50768.00,4,65,34,63243.71
Tier 2,Executive,Metro,62897.00,2,57,33,64127.09
Tier 1,Executive,Metro,56970.00,3,43,46,81291.41
Tier 2,Executive,Non-Metro,50145.00,2,57,36,58437.39
Tier 3,Executive,Metro,57744.00,3,71,19,68804.22
Tier 3,Executive,Non-Metro,50546.00,2,70,57,65555.15
Tier 1,Executive,Non-Metro,49630.00,3,39,50,78953.09
Tier 1,Executive,Non-Metro,49201.00,1,75,30,71665.52
Tier 1,Executive,Metro,59672.00,1,41,33,78716.54
Tier 2,Executive,Non-Metro,65360.00,4,85,18,67305.64
Tier 1,Executive,Metro,56630.00,4,78,46,91874.27
Tier 2,Executive,Metro,66225.00,2,52,46,68828.39
Tier 3,Executive,Metro,50905.00,1,51,47,71592.06
Tier 2,Executive,Metro,70139.00,3,57,23,69655.87
Tier 2,Executive,Non-Metro,50225.00,3,78,18,55965.32
Tier 1,Executive,Non-Metro,58491.00,1,82,48,77992
Tier 1,Executive,Metro,54429.00,3,73,35,67723.64
Tier 1,Manager,Non-Metro,48660.00,4,40,19,69552.9
Tier 1,Executive,Non-Metro,54944.00,4,52,21,71319.69
Tier 2,Executive,Non-Metro,45569.00,1,45,21,61314.49
Tier 1,Executive,Non-Metro,54688.00,3,72,49,77659.8
Tier 1,Executive,Non-Metro,55031.00,3,38,56,79567.5
Tier 3,Executive,Non-Metro,47800.00,3,51,42,64852.24
Tier 3,Executive,Metro,53525.00,3,76,44,76874.67
Tier 1,Executive,Metro,58158.00,4,52,18,74609.27
Tier 3,Executive,Non-Metro,45831.00,4,50,61,67830.32
Tier 1,Executive,Non-Metro,49068.00,3,38,57,76946.27
Tier 1,Executive,Non-Metro,59055.00,1,62,42,74170.88
Tier 1,Manager,Metro,56061.00,1,50,26,89914.73
Tier 2,Executive,Metro,54739.00,1,41,20,57101.04
Tier 3,Manager,Non-Metro,48909.00,1,63,23,72988.31
Tier 1,Manager,Non-Metro,53938.00,1,61,39,75465.42
Tier 2,Manager,Metro,64117.00,4,77,24,98229.46
Tier 3,Executive,Non-Metro,53523.00,1,61,64,75104.22
Tier 2,Executive,Metro,54533.00,1,68,62,94600.05
Tier 1,Manager,Non-Metro,41686.00,2,52,27,71243.97
Tier 1,Manager,Metro,52894.00,2,43,55,101285.3
Tier 2,Executive,Metro,54634.00,2,76,55,78275.87
Tier 2,Executive,Non-Metro,71502.00,4,49,35,74600.09
Tier 1,Executive,Metro,49626.00,3,59,44,72344.51
Tier 1,Executive,Metro,64324.00,4,74,19,71994.5
Tier 2,Executive,Non-Metro,62778.00,1,51,58,77589.36
Tier 3,Executive,Metro,52970.00,1,49,50,90017.28
Tier 3,Executive,Non-Metro,45893.00,4,75,26,65271.68
Tier 3,Executive,Non-Metro,50488.00,2,59,24,66640.89
Tier 1,Executive,Metro,60137.00,4,65,48,89189.31
Tier 3,Executive,Non-Metro,57816.00,4,66,19,59189.52
Tier 1,Executive,Metro,51943.00,1,62,48,69695.94
Tier 1,Executive,Metro,59544.00,3,51,49,70404
Tier 1,Executive,Non-Metro,61499.00,2,76,46,64944.99
Tier 3,Executive,Metro,41294.00,1,39,46,71733.25
Tier 1,Executive,Non-Metro,58538.00,1,75,43,76807.18
Tier 2,Executive,Metro,57406.00,2,61,21,84235.74
Tier 1,Executive,Metro,50528.00,1,68,64,74927.63
Tier 2,Executive,Non-Metro,61700.00,4,36,18,66204.58
Tier 1,Executive,Non-Metro,47270.00,1,51,51,68331.12
Tier 2,Executive,Metro,69065.00,1,76,47,80932.58
Tier 3,Executive,Non-Metro,60257.00,4,39,64,82519.16
Tier 3,Executive,Metro,61079.00,1,79,49,77040.51
Tier 1,Executive,Metro,42108.00,3,49,31,72612.42
Tier 1,Executive,Non-Metro,63977.00,4,63,52,84692.16
Tier 2,Executive,Non-Metro,45174.00,3,61,33,65377.42
Tier 1,Executive,Non-Metro,52699.00,3,69,47,69660.75
Tier 2,Executive,Metro,42512.00,2,80,38,69717.83
Tier 2,Executive,Metro,55176.00,3,75,32,57008.66
Tier 3,Executive,Metro,38605.00,1,38,19,69365.78
Tier 1,Manager,Non-Metro,46677.00,1,39,44,77774.74
Tier 1,Manager,Non-Metro,45778.00,1,71,26,79016.85
Tier 1,Executive,Metro,43939.00,2,39,25,74387.54
Tier 3,Executive,Non-Metro,56398.00,4,57,19,68191.78
Tier 2,Executive,Non-Metro,55835.00,2,42,43,60230.16
Tier 2,Executive,Metro,63076.00,2,76,52,73796.54
Tier 1,Manager,Non-Metro,42990.00,4,69,36,72310.2
Tier 2,Executive,Metro,65196.00,4,57,64,81015.32
Tier 3,Manager,Non-Metro,52971.00,3,38,63,81697.6
Tier 2,Manager,Metro,59430.00,4,54,64,104243.15
Tier 2,Manager,Metro,60711.00,1,65,61,101556.34
Tier 1,Manager,Metro,55375.00,1,68,40,106794.93
Tier 1,Executive,Metro,52454.00,4,73,25,71600.02
Tier 1,Executive,Metro,58185.00,3,83,48,81949.56
Tier 2,Executive,Metro,47925.00,1,36,45,73749.23
Tier 1,Executive,Non-Metro,47421.00,2,53,38,71375.68
Tier 1,Executive,Non-Metro,51533.00,3,61,18,72477.67
Tier 1,Executive,Non-Metro,36990.00,2,43,21,65008.02
Tier 3,Executive,Non-Metro,56116.00,1,67,27,84698.85
Tier 1,Executive,Metro,62878.00,2,47,19,97088.21
Tier 3,Executive,Non-Metro,42736.00,3,64,29,60591.81
Tier 1,Executive,Metro,55608.00,1,78,42,70832.23
Tier 1,Executive,Non-Metro,59842.00,4,46,60,71889.51
Tier 3,Executive,Metro,56444.00,3,45,31,73635.67
Tier 2,Executive,Metro,53316.00,1,48,60,70999.92
Tier 1,Executive,Metro,53856.00,2,75,22,66756.42
Tier 1,Executive,Metro,54873.00,2,58,35,72489.65
Tier 2,Executive,Non-Metro,68315.00,3,79,52,81832.1
Tier 1,Executive,Metro,52544.00,1,42,26,73939.42
Tier 3,Executive,Non-Metro,57189.00,3,47,31,66790.5
Tier 1,Manager,Non-Metro,57695.00,2,55,33,96600.42
